Timestamp,Inference Step,CPU Usage (%),CPU Temp (Â°C)
2025-04-15 02:28:24,5,7.1,41.3
2025-04-15 02:28:28,10,5.8,40.9
2025-04-15 02:28:31,15,5.8,40.9
2025-04-15 02:28:35,20,8.7,40.9
2025-04-15 02:28:38,25,4.4,41.3
2025-04-15 02:28:42,30,9.9,41.3
2025-04-15 02:28:46,35,7.2,42.3
2025-04-15 02:28:49,40,7.2,41.3
2025-04-15 02:28:53,45,4.5,41.8
2025-04-15 02:28:57,50,4.4,41.8
2025-04-15 02:29:00,55,7.1,41.3
2025-04-15 02:29:04,60,4.4,40.9
2025-04-15 02:29:08,65,8.5,40.9
2025-04-15 02:29:11,70,7.1,40.9
2025-04-15 02:29:15,75,8.5,40.4
2025-04-15 02:29:18,80,4.4,42.8
2025-04-15 02:29:22,85,4.4,41.3
2025-04-15 02:29:26,90,5.8,42.3
2025-04-15 02:29:29,95,5.8,40.4
2025-04-15 02:29:33,100,7.1,41.8
2025-04-15 02:29:37,105,7.1,42.3
